volumeto,high,low,time,volumefrom,close,open
6516834.71,627.28,585.66,1394928000,10527.15,598.93,624.03
6810075.29,607.08,540.22,1395187200,11643.18,549.6,598.93
6388898.24,572.52,531.27,1395446400,11568.14,567.56,549.6
6270696.6,575.42,460.45,1395705600,11354.11,460.45,567.56
5879816.48,514.95,424.03,1395964800,12258.78,446.92,460.45
5700582.07,487.35,409.25,1396224000,12501.41,424.37,446.92
3365816.03,461.17,386.67,1396483200,7745.98,456.63,424.37
5332434.14,485.06,446.3,1396742400,11452.38,466.56,456.63
5531659.13,479.66,355.71,1397001600,12692.22,435.14,466.56
7982916.2,497.83,409.85,1397260800,17785.1,478.38,435.14
12236099.5,549.05,466.43,1397520000,24061.78,502,478.38
12146953.86,522.22,472,1397779200,24419.97,498.51,502
8853717.49,524.67,482.25,1398038400,17776.95,487.3,498.51
8233142.45,507.33,438.33,1398297600,17568,457.87,487.3
6830229.01,461.4,420.78,1398556800,15224.61,446.12,457.87
5279545.21,464.49,430.89,1398816000,11660.66,453.67,446.12
3942189.74,454.2,426.37,1399075200,8992.52,430.87,453.67
5153830.14,458.78,420.23,1399334400,11758.87,441.11,430.87
2069156.62,459.46,429.02,1399593600,4604.72,433.23,441.11
2752368.63,444.28,430.19,1399852800,6238.99,442.63,433.23
2565307.43,455.94,441.47,1400112000,5632.15,452.79,442.63
2140014.78,486.23,437.25,1400371200,4699.59,484.57,452.79
3735518.66,540.88,481.73,1400630400,7282.93,518.09,484.57
4243547.05,586.41,510.42,1400889600,7689.96,582.01,518.09
6123552.35,586.22,555.28,1401148800,10657.17,564.42,582.01
8749688.47,674.98,564.02,1401408000,14167.9,649.79,564.42
9135839.38,676.47,602.1,1401667200,14091.85,638.93,649.79
7102553.02,665.39,635.59,1401926400,10766.02,651.67,638.93
6634571.08,661.44,639.08,1402185600,10130.56,655.62,651.67
10032241.05,663.04,591.12,1402444800,15933.02,610.35,655.62
7661468.11,613.77,560.85,1402704000,12933.39,599.08,610.35
7291312.36,614.4,594.86,1402963200,11912.79,600.17,599.08
3927434.45,610.08,584.82,1403222400,6473.62,603.62,600.17
5233135.91,604.65,566.88,1403481600,8821.05,568.45,603.62
6194852.3,608.76,565.85,1403740800,10475.39,597.56,568.45
6806388.19,652.54,593.19,1404000000,10831.36,643.19,597.56
7972354.61,652.1,604.58,1404259200,12396.22,623.96,643.19
5324152.6,629.44,607.32,1404518400,8478.03,613.6,623.96
6178553.21,624.95,609.35,1404777600,9877.22,618.39,613.6
5231315.76,638.64,616.11,1405036800,8260.66,628.03,618.39
5785027.13,628.99,614.15,1405296000,9244.23,614.8,628.03
6448182.82,634.14,610.01,1405555200,10227.83,627.04,614.8
5108344.23,628.81,615.02,1405814400,8114.38,622.53,627.04
7861209.47,624.99,597.4,1406073600,12830.95,600.5,622.53
5605622.31,602.98,578.14,1406332800,9340.59,587.93,600.5
8418327.37,593.73,564.01,1406592000,14345.65,589.52,587.93
7387672.47,603.99,580.62,1406851200,12311.13,588.94,589.52
6263142.15,595.09,585.44,1407110400,10510.59,589.77,588.94
4201780.03,608.2,587.41,1407369600,7028.4,589.52,589.77
4203691.01,596.64,561.98,1407628800,7232.37,567.66,589.52
10675728.76,573.51,483.21,1407888000,20466.4,496.45,567.66
6532022.23,524.71,449.95,1408147200,13392.35,462.18,496.45
8398155.27,537.17,455.8,1408406400,16652.6,517.94,462.18
6007836.05,524.44,493.98,1408665600,11691.13,509.71,517.94
5223046.23,527.37,499.71,1408924800,10053.86,515.23,509.71
5521349.69,521.59,503.12,1409184000,10738.72,505.96,515.23
9535519.23,508.34,470.54,1409443200,19631.9,478.94,505.96
10377123.62,498.47,476.26,1409702400,20985.47,483.65,478.94
7587383.73,491.38,469.5,1409961600,15493.98,475.69,483.65
10674756.79,491.04,467.52,1410220800,21871.67,478.49,475.69
7116131.15,480.64,471.14,1410480000,14625.86,477.74,478.49
9415279.56,479.28,458.27,1410739200,19657.21,461.09,477.74
15929292.31,462.26,386.1,1410998400,38182.71,411.53,461.09
17252370.74,445.51,394.52,1411257600,41876.06,436.86,411.53
20327852.92,439.19,399.7,1411516800,48107.81,404.46,436.86
17328526.33,407.07,372.63,1411776000,44356.98,376.77,404.46
18884379.88,395.18,371.2,1412035200,48952.87,375.14,376.77
23841880.77,378.22,294.92,1412294400,69695.1,322.86,375.14
31131607.92,351.64,303.05,1412553600,93114.96,350.87,322.86
28463908.23,384.61,347.57,1412812800,77928.21,361.22,350.87
24563091.36,407.74,352.25,1413072000,63670.25,397.1,361.22
23191353.75,398.84,371.56,1413331200,59838.27,380.48,397.1
9822020.07,395.71,373.58,1413590400,25326.78,380.39,380.48
14810156.24,388.24,353.48,1413849600,39315.06,355.78,380.39
16191515.66,360.87,341.53,1414108800,45654.77,348.67,355.78
11409259.77,356.35,334.72,1414368000,32298.16,335.12,348.67
14876825.29,350.38,320.74,1414627200,43899.41,325.43,335.12
13269448.85,332.85,319.81,1414886400,40445.02,327.96,325.43
15946424.32,351.61,326.52,1415145600,46505.14,341.87,327.96
15688437.74,374.67,339.8,1415404800,43620.79,367.15,341.87
46859616.11,480.45,361.87,1415664000,112520.2,428.72,367.15
24933405.32,430.18,367.97,1415923200,63410.18,385.61,428.72
28939859.86,412.33,371.95,1416182400,74562.08,381.43,385.61
21008231.04,383.03,343.8,1416441600,58395.48,352.01,381.43
31154502.77,395.73,352.64,1416700800,82295.61,376.43,352.01
30178646.52,383.25,358.37,1416960000,80844.38,377.59,376.43
43734607.99,389.3,372.21,1417219200,114414.51,378.61,377.59
28135912.66,384.87,366.24,1417478400,74121.15,369.84,378.61
18767505.59,380.33,366.39,1417737600,49874.41,376.47,369.84
33571051.51,377.36,343.82,1417996800,93878.28,347.94,376.47
34391053.37,367.13,337.8,1418256000,97474.3,348.24,347.94
25076129.79,351.59,328.88,1418515200,73092.84,330.22,348.24
51886598.6,335.67,303.4,1418774400,163566.37,317.78,330.22
28209774.08,335.26,316.05,1419033600,85953.15,330.84,317.78
20096310.27,339.32,316.3,1419292800,60979.41,318.99,330.84
20941907.15,332.88,310.5,1419552000,65051.97,316.53,318.99
20093453.15,321.61,308.28,1419811200,63629.08,318.24,316.53
22956603.6,321.36,284.89,1420070400,74915.69,287.13,318.24
45348415.28,289.94,255.87,1420329600,165701.88,282.27,287.13
20586679.8,296.06,277.28,1420588800,71774.32,287.97,282.27
15169424.55,289.25,263.3,1420848000,55220.92,269.33,287.97
81329970.7,269.1,157.29,1421107200,390846.72,209.78,269.33
30323562.99,222.63,191.71,1421366400,145820.04,210.62,209.78
24061221.63,229.32,203.42,1421625600,112247.15,228.17,210.62
29375459.47,248.88,224.84,1421884800,125112.3,248.16,228.17
55446949.43,310.91,241.36,1422144000,206163.11,263.27,248.16
39920619.31,267.66,220.36,1422403200,166483.98,231.84,263.27
27669131.64,242.51,209.71,1422662400,122333.61,238.86,231.84
36551276.24,247.48,214.35,1422921600,158963.85,216.52,238.86
27240074.11,231,215.65,1423180800,121325.2,223.67,216.52
54979408.95,225,214.44,1423440000,249566.94,218.83,223.67
70641231.28,261.25,217.3,1423699200,296158.93,258.64,218.83
99035681.91,264.57,226.56,1423958400,410870.04,243.2,258.64
60100332.46,247.76,231.7,1424217600,249300.3,244.52,243.2
43534670.68,247.32,231.33,1424476800,181325.08,238.82,244.52
31945276.35,240.25,233.5,1424736000,134000.98,236.53,238.82
65246477.58,260.65,235.7,1424995200,258545.68,257.94,236.53
105870145.71,287.06,256.15,1425254400,384907.13,271.92,257.94
77322398.06,280.84,262.81,1425513600,283156.39,274.91,271.92
103819672.26,300.96,271.31,1425772800,360349.11,291.37,274.91
83439191.28,297.66,286.08,1426032000,284644.45,287.21,291.37
52090318.3,294.01,279.3,1426291200,181514.16,290.41,287.21
120692028.51,292.46,247,1426550400,452445.32,260.93,290.41
42247288.59,270.42,254.02,1426809600,161118.25,268.57,260.93
91875271.03,271.01,234.84,1427068800,363977.08,246.37,268.57
51847327.9,254.69,243.52,1427328000,207093.01,252.02,246.37
58450847.57,252.81,236.55,1427587200,238204.08,244.15,252.02
55031015.19,256.53,239.57,1427846400,220182.35,254.48,244.15
30939831.2,261.45,250.31,1428105600,120477.35,254.97,254.48
53649380.38,255.6,237.62,1428364800,216632.17,243.32,254.97
43862445.96,244.11,231.3,1428624000,185218.14,235.85,243.32
66397909.41,236.75,214.27,1428883200,297568.21,222.97,235.85
42483037.8,229.53,220.56,1429142400,188350.88,223.35,222.97
33726101.21,235.27,221.58,1429401600,148711.57,233.73,223.35
44483850.22,238.4,229.06,1429660800,189796.14,231.09,233.73
59800837.22,242.65,214.14,1429920000,267960.68,228.96,231.09
54881955.64,240.01,222.03,1430179200,239099.22,235.77,228.96
36271156.53,243.58,231.73,1430438400,152930.57,239.99,235.77
59060093.25,243.2,228.24,1430697600,250648.1,230.03,239.99
57823081.5,247.87,228.33,1430956800,241341.39,241.4,230.03
34166035.33,244.82,238.23,1431216000,141249.01,241.58,241.4
48095829.23,243.91,232.36,1431475200,201473.36,237.2,241.58
25669633.69,237.78,231.46,1431734400,108627.75,232.64,237.2
31291183.62,236.65,231.27,1431993600,133561.87,235.38,232.64
33568544.62,242.39,234.56,1432252800,140395.38,240.98,235.38
26589233.68,241.79,235.58,1432512000,111489.26,237.29,240.98
27488618.2,238.41,231.59,1432771200,116303.5,233.22,237.29
42361593.89,233.99,220.97,1433030400,186859.27,225.74,233.22
34917877.81,227.86,222.15,1433289600,154864.34,225.29,225.74
30996234,229.91,222.21,1433548800,137101.84,228.57,225.29
30919608.58,231.36,227.51,1433808000,134480.82,229.88,228.57
25910401.53,235.51,229.01,1434067200,111648.42,233.75,229.88
75616580.85,258.48,233.29,1434326400,307558.61,247.38,233.75
52806884.88,251.95,238.7,1434585600,214116.52,244.98,247.38
27286543.84,248.6,240.94,1434844800,111167.99,243.76,244.98
30319164.4,244.51,239.05,1435104000,125087.95,242.95,243.76
